policy_id,is_claim
ID00001,0
ID00002,0
ID00003,0
ID00004,0
ID00005,0
ID00006,0
ID00007,0
ID00008,0
ID00009,0
ID00010,0
ID00011,0
ID00012,0
ID00013,1
ID00014,0
ID00015,0
ID00016,0
ID00017,0
ID00018,0
ID00019,0
ID00020,1
ID00021,0
ID00022,1
ID00023,0
ID00024,1
ID00025,1
ID00026,0
ID00027,0
ID00028,0
ID00029,0
ID00030,1
ID00031,0
ID00032,0
ID00033,0
ID00034,0
ID00035,0
ID00036,0
ID00037,0
ID00038,0
ID00039,0
ID00040,0
ID00041,0
ID00042,0
ID00043,0
ID00044,0
ID00045,0
ID00046,0
ID00047,0
ID00048,0
ID00049,0
ID00050,0
ID00051,0
ID00052,0
ID00053,0
ID00054,0
ID00055,0
ID00056,0
ID00057,0
ID00058,0
ID00059,0
ID00060,0
ID00061,0
ID00062,0
ID00063,0
ID00064,0
ID00065,0
ID00066,0
ID00067,0
ID00068,0
ID00069,0
ID00070,0
ID00071,0
ID00072,0
ID00073,0
ID00074,0
ID00075,1
ID00076,0
ID00077,0
ID00078,0
ID00079,0
ID00080,0
ID00081,0
ID00082,0
ID00083,0
ID00084,0
ID00085,0
ID00086,0
ID00087,0
ID00088,0
ID00089,0
ID00090,0
ID00091,0
ID00092,0
ID00093,0
ID00094,0
ID00095,0
ID00096,0
ID00097,0
ID00098,0
ID00099,0
ID00100,0
ID00101,0
ID00102,0
ID00103,0
ID00104,0
ID00105,0
ID00106,0
ID00107,0
ID00108,0
ID00109,0
ID00110,0
ID00111,0
ID00112,0
ID00113,0
ID00114,0
ID00115,0
ID00116,0
ID00117,0
ID00118,0
ID00119,0
ID00120,0
ID00121,0
ID00122,0
ID00123,0
ID00124,0
ID00125,0
ID00126,1
ID00127,0
ID00128,0
ID00129,0
ID00130,0
ID00131,0
ID00132,0
ID00133,0
ID00134,0
ID00135,0
ID00136,1
ID00137,0
ID00138,0
ID00139,0
ID00140,0
ID00141,0
ID00142,0
ID00143,0
ID00144,0
ID00145,0
ID00146,0
ID00147,0
ID00148,0
ID00149,0
ID00150,0
ID00151,0
ID00152,0
ID00153,1
ID00154,0
ID00155,0
ID00156,0
ID00157,0
ID00158,0
ID00159,0
ID00160,0
ID00161,0
ID00162,0
ID00163,0
ID00164,0
ID00165,0
ID00166,0
ID00167,0
ID00168,0
ID00169,0
ID00170,0
ID00171,0
ID00172,0
ID00173,0
ID00174,0
ID00175,0
ID00176,0
ID00177,0
ID00178,0
ID00179,0
ID00180,0
ID00181,0
ID00182,0
ID00183,0
ID00184,0
ID00185,0
ID00186,1
ID00187,0
ID00188,0
ID00189,0
ID00190,0
ID00191,0
ID00192,0
ID00193,1
ID00194,0
ID00195,0
ID00196,0
ID00197,1
ID00198,0
ID00199,0
ID00200,0
ID00201,0
ID00202,0
ID00203,0
ID00204,0
ID00205,0
ID00206,0
ID00207,0
ID00208,0
ID00209,0
ID00210,0
ID00211,0
ID00212,0
ID00213,0
ID00214,0
ID00215,0
ID00216,0
ID00217,0
ID00218,0
ID00219,0
ID00220,0
ID00221,0
ID00222,0
ID00223,0
ID00224,0
ID00225,0
ID00226,0
ID00227,0
ID00228,0
ID00229,0
ID00230,0
ID00231,0
ID00232,0
ID00233,0
ID00234,0
ID00235,0
ID00236,0
ID00237,0
ID00238,0
ID00239,0
ID00240,0
ID00241,0
ID00242,0
ID00243,0
ID00244,0
ID00245,0
ID00246,0
ID00247,0
ID00248,0
ID00249,0
ID00250,0
ID00251,0
ID00252,0
ID00253,0
ID00254,0
ID00255,0
ID00256,0
ID00257,0
ID00258,0
ID00259,0
ID00260,0
ID00261,0
ID00262,0
ID00263,0
ID00264,0
ID00265,0
ID00266,0
ID00267,0
ID00268,0
ID00269,0
ID00270,0
ID00271,0
ID00272,0
ID00273,0
ID00274,0
ID00275,0
ID00276,0
ID00277,0
ID00278,0
ID00279,0
ID00280,0
ID00281,0
ID00282,0
ID00283,0
ID00284,0
ID00285,0
ID00286,0
ID00287,0
ID00288,0
ID00289,1
ID00290,0
ID00291,0
ID00292,0
ID00293,0
ID00294,0
ID00295,0
ID00296,0
ID00297,1
ID00298,0
ID00299,0
ID00300,0
ID00301,0
ID00302,0
ID00303,0
ID00304,0
ID00305,0
ID00306,0
ID00307,0
ID00308,0
ID00309,0
ID00310,0
ID00311,0
ID00312,0
ID00313,0
ID00314,0
ID00315,0
ID00316,0
ID00317,0
ID00318,0
ID00319,0
ID00320,0
ID00321,0
ID00322,0
ID00323,0
ID00324,0
ID00325,0
ID00326,0
ID00327,0
ID00328,0
ID00329,0
ID00330,0
ID00331,0
ID00332,0
ID00333,0
ID00334,0
ID00335,1
ID00336,0
ID00337,0
