policy_id,policy_tenure,age_of_car,age_of_policyholder,area_cluster,population_density
ID00001,0.51587359,0.05,0.644230769,C1,4990
ID00002,0.672618514,0.02,0.375,C2,27003
ID00003,0.841110256,0.02,0.384615385,C3,4076
ID00004,0.900276559,0.11,0.432692308,C4,21622
ID00005,0.596402813,0.11,0.634615385,C5,34738
ID00006,1.018708538,0.07,0.519230769,C6,13051
ID00007,0.097992158,0.16,0.403846154,C7,6112
ID00008,0.509084671,0.14,0.423076923,C8,8794
ID00009,0.282393518,0.07,0.298076923,C7,6112
ID00010,0.566255433,0.04,0.442307692,C9,17804
ID00011,0.951416171,0.01,0.596153846,C5,34738
ID00012,0.083180015,0.12,0.298076923,C3,4076
ID00013,0.045833999,0.03,0.480769231,C3,4076
ID00014,0.520336974,0.1,0.307692308,C10,73430
ID00015,,,,,6108
ID00016,,,,,34738
ID00017,,,,,27003
ID00018,,,,,17804
ID00019,0.295966729,0.12,0.5,C8,8794
ID00020,0.758622595,0.09,0.394230769,C5,34738
ID00021,0.301701572,0.05,0.403846154,C11,6108
ID00022,0.527085217,0,0.615384615,C4,21622
ID00023,0.630598332,0.08,0.317307692,C2,27003
ID00024,0.99944326,0.08,0.576923077,C2,27003
ID00025,0.02056262,0.01,0.480769231,C8,8794
ID00026,0.240958874,0.07,0.317307692,C3,4076
ID00027,0.775663608,0.02,0.375,C11,6108
ID00028,0.524680615,0.15,0.394230769,C2,27003
ID00029,0.543358191,0.07,0.326923077,C2,27003
ID00030,1.124538112,0.07,0.490384615,C8,8794
ID00031,1.102728948,0.12,0.298076923,C12,34791
ID00032,1.146741204,0.13,0.461538462,C3,4076
ID00033,0.796578491,0.02,0.461538462,C1,4990
ID00034,0.530241345,0.15,0.480769231,C10,73430
ID00035,0.468720629,0.01,0.403846154,C2,27003
ID00036,1.193936298,0.39,0.403846154,C8,8794
ID00037,0.758760266,0.01,0.384615385,C5,34738
ID00038,1.152403851,0.08,0.490384615,C13,5410
ID00039,1.124138178,0.12,0.403846154,C8,8794
ID00040,0.128866092,0.02,0.576923077,C3,4076
ID00041,0.247247659,0.08,0.471153846,C8,8794
ID00042,0.112364879,0,0.384615385,C3,4076
ID00043,0.844741731,0.04,0.394230769,C3,4076
ID00044,0.132377284,0.07,0.490384615,C8,8794
ID00045,1.055754509,0.1,0.923076923,C8,8794
ID00046,0.715804194,0.02,0.403846154,C3,4076
ID00047,1.216342248,0.15,0.692307692,C8,8794
ID00048,0.082137239,0.03,0.326923077,C3,4076
ID00049,1.235398749,0.11,0.471153846,C8,8794
ID00050,0.345261469,,,C5,34738
ID00051,0.916421269,0,0.326923077,C2,27003
ID00052,1.088505468,0.01,0.413461538,C2,27003
ID00053,1.075523255,0.17,0.682692308,C13,5410
ID00054,1.084545126,0.06,0.365384615,C12,34791
ID00055,0.167815014,0,0.480769231,C5,34738
ID00056,0.330100559,0.1,0.355769231,C14,7788
ID00057,0.943037693,0.12,0.403846154,C14,7788
ID00058,0.011489455,0,0.480769231,C4,21622
ID00059,0.541464631,0.04,0.644230769,C5,34738
ID00060,1.216863282,0.04,0.509615385,C11,6108
ID00061,1.069193218,0.1,0.394230769,C9,17804
ID00062,1.185972467,0.05,0.538461538,C2,27003
ID00063,1.198923557,0.12,0.461538462,C9,17804
ID00064,0.090390127,0,0.673076923,C7,6112
ID00065,0.245361841,0.04,0.326923077,C15,290
ID00066,0.411289303,0.08,0.298076923,C16,16206
ID00067,1.108167863,0.06,0.346153846,C2,27003
ID00068,1.01976953,0.17,0.375,C8,8794
ID00069,1.176621335,0.04,0.548076923,C13,5410
ID00070,0.976632692,0.04,0.394230769,C14,7788
ID00071,0.475114197,0.08,0.548076923,C2,27003
ID00072,0.282169396,0.04,0.615384615,C10,73430
ID00073,0.639802759,0.01,0.538461538,C16,16206
ID00074,0.190606966,0.06,0.346153846,C13,5410
ID00075,1.194710422,0.06,0.288461538,C6,13051
ID00076,0.649588074,0.02,0.509615385,C12,34791
ID00077,0.252136266,0.08,0.326923077,C8,8794
ID00078,0.53954461,0.13,0.384615385,C10,73430
ID00079,1.043325994,0.13,0.557692308,C11,6108
ID00080,0.168965055,0,0.365384615,C8,8794
ID00081,0.977908448,0.06,0.759615385,C2,27003
ID00082,0.568471862,0.06,0.538461538,C9,17804
ID00083,1.213044172,0.13,0.403846154,C10,73430
ID00084,0.462069956,0.01,0.442307692,C8,8794
ID00085,1.16392472,0.06,0.288461538,C9,17804
ID00086,0.179501475,0.02,0.442307692,C2,27003
ID00087,0.046563508,0.01,0.288461538,C2,27003
ID00088,0.807114161,0.18,0.326923077,C13,5410
ID00089,0.094857459,0.1,0.365384615,C7,6112
ID00090,0.321030834,0.02,0.673076923,C2,27003
ID00091,0.084936104,0.08,0.384615385,C5,34738
ID00092,1.065680687,0.08,0.384615385,C14,7788
ID00093,0.215212969,0.02,0.509615385,C15,290
ID00094,0.037337827,0.07,0.423076923,C2,27003
ID00095,0.902637988,0.14,0.432692308,C12,34791
ID00096,0.08037214,0,0.336538462,C2,27003
ID00097,0.092874414,0.03,0.336538462,C8,8794
ID00098,0.096181616,0.04,0.451923077,C5,34738
ID00099,0.892753417,0.01,0.326923077,C7,6112
ID00100,1.117395213,0.02,0.432692308,C4,21622
ID00101,1.1365196,0.14,0.480769231,C14,7788
ID00102,1.054796038,0.14,0.451923077,C8,8794
ID00103,1.197191873,0.06,0.673076923,C8,8794
ID00104,0.776574085,0.14,0.596153846,C14,7788
ID00105,0.543271734,0.01,0.288461538,C8,8794
ID00106,0.166865668,0.15,0.375,C5,34738
ID00107,0.702487681,0,0.403846154,C10,73430
ID00108,0.354055572,0.04,0.384615385,C5,34738
ID00109,0.265161014,0.14,0.451923077,C9,17804
ID00110,1.078275212,0.02,0.740384615,C11,6108
ID00111,1.043338655,0.08,0.355769231,C8,8794
ID00112,0.279102442,0.04,0.557692308,C5,34738
ID00113,0.407690965,0.11,0.509615385,C5,34738
ID00114,0.366055078,0.05,0.317307692,C6,13051
ID00115,0.900941035,0.05,0.384615385,C8,8794
ID00116,1.143083881,0.13,0.326923077,C10,73430
ID00117,1.000023618,0.16,0.663461538,C17,65567
ID00118,1.202791822,0,0.346153846,C8,8794
ID00119,1.026045674,0.15,0.471153846,C5,34738
ID00120,0.474598056,0.12,0.557692308,C14,7788
ID00121,1.092049991,0.02,0.403846154,C5,34738
ID00122,1.227016294,0.06,0.596153846,C2,27003
ID00123,0.382363292,0.02,0.625,C14,7788
ID00124,0.479102792,0.03,0.442307692,C8,8794
ID00125,1.073612385,0.2,0.442307692,C2,27003
ID00126,0.064651599,0,,,
ID00127,0.096461962,0.17,,,
ID00128,0.094342695,0.09,0.538461538,C10,73430
ID00129,0.131791204,0.1,0.298076923,C1,4990
ID00130,0.544042072,0.02,0.461538462,C5,34738
ID00131,0.888914474,0.01,0.528846154,C1,4990
ID00132,0.785907896,0.12,0.432692308,C2,27003
ID00133,0.370910628,0.09,0.480769231,C10,73430
ID00134,1.068803376,0.02,0.692307692,C6,13051
ID00135,0.125743781,0.11,0.625,C11,6108
ID00136,0.490727527,0,0.471153846,C18,35036
ID00137,0.595210893,0.13,0.394230769,C13,5410
ID00138,0.848697908,0.1,0.451923077,C8,8794
ID00139,1.063930647,0.01,0.317307692,C9,17804
ID00140,1.246036211,0.04,0.576923077,C2,27003
ID00141,1.230216322,0.03,0.480769231,C17,65567
ID00142,0.916584948,0.04,0.528846154,C3,4076
ID00143,0.075911478,0.13,0.298076923,C8,8794
ID00144,1.033368768,0.04,0.519230769,C5,34738
ID00145,1.054417361,0.1,0.461538462,C7,6112
ID00146,0.859521152,0.03,0.528846154,C2,27003
ID00147,1.247528797,0.13,0.663461538,C9,17804
ID00148,0.86926586,0.01,0.336538462,C3,4076
ID00149,0.022164433,0,0.740384615,C5,34738
ID00150,0.005923208,0.01,0.423076923,C5,34738
ID00151,0.671115977,0.1,0.451923077,C7,6112
ID00152,0.611863021,0.07,0.586538462,C8,8794
ID00153,1.237960818,0.12,0.442307692,C2,27003
ID00154,0.883116875,0.01,0.596153846,C5,34738
ID00155,0.06969403,0.04,0.423076923,C8,8794
ID00156,0.924190182,0.02,0.480769231,C6,13051
ID00157,0.400286195,0,0.307692308,C3,4076
ID00158,0.253395912,0.03,0.346153846,C8,8794
ID00159,1.027460725,0.18,0.490384615,C2,27003
ID00160,1.1556625,0.11,0.490384615,C14,7788
ID00161,1.221983587,0.11,0.576923077,C2,27003
ID00162,1.228023779,0.02,0.423076923,C12,34791
ID00163,0.032286903,0.07,0.548076923,C5,34738
ID00164,1.224247245,0.06,0.673076923,C8,8794
ID00165,0.03680415,0.05,0.519230769,C9,17804
ID00166,1.103732437,0.07,0.384615385,C14,7788
ID00167,0.534852681,0.05,0.480769231,C13,5410
ID00168,0.907761325,0.16,0.298076923,C8,8794
ID00169,0.544110963,0.02,0.403846154,C5,34738
ID00170,0.859511573,0.03,0.288461538,C5,34738
ID00171,0.233327565,0.03,0.451923077,C5,34738
ID00172,1.016790953,0.11,0.692307692,C8,8794
ID00173,0.207344939,0.01,0.509615385,C3,4076
ID00174,0.036313487,0.01,0.634615385,C4,21622
ID00175,0.079806091,0,0.355769231,C14,7788
ID00176,1.235137645,0.01,0.432692308,C3,4076
ID00177,0.819056779,0.01,0.625,C1,4990
ID00178,0.215964353,0.15,0.432692308,C8,8794
ID00179,0.653412583,0.01,0.653846154,C2,27003
ID00180,0.194699927,0.14,0.317307692,C11,6108
ID00181,0.052403378,0.04,0.692307692,C13,5410
ID00182,1.008695923,0.12,0.730769231,C2,27003
ID00183,1.144670537,0.06,0.326923077,C14,7788
ID00184,1.044212145,0.13,0.451923077,C8,8794
ID00185,1.19167862,0.05,0.384615385,C8,8794
ID00186,1.20076543,0.17,0.326923077,C8,8794
ID00187,0.722116728,0.16,0.365384615,C7,6112
ID00188,0.405686986,0.13,0.365384615,C2,27003
ID00189,0.425328534,0.02,0.394230769,C3,4076
ID00190,0.279208428,0.01,0.375,C7,6112
ID00191,0.698574182,0.01,0.423076923,C5,34738
ID00192,1.215278187,0.08,0.461538462,C8,8794
ID00193,1.087889563,0.12,0.480769231,C8,8794
ID00194,1.210349409,0.05,0.432692308,C19,27742
ID00195,0.201172597,0.16,0.442307692,C8,8794
ID00196,0.368467861,0.04,0.413461538,C2,27003
ID00197,1.218565566,0.03,0.567307692,C5,34738
ID00198,1.135625521,0.09,0.403846154,C11,6108
ID00199,0.568969015,0.05,0.365384615,C8,8794
ID00200,0.088313573,0.18,0.403846154,C5,34738
ID00201,0.160005801,0.13,0.461538462,C2,27003
ID00202,0.157947587,0.05,0.326923077,C17,65567
